Id,Category
1,1
2,6
3,9
4,0
5,8
6,2
7,5
8,2
9,8
10,0
11,2
12,3
13,3
14,0
15,0
16,2
17,7
18,3
19,3
20,8
21,3
22,6
23,1
24,0
25,1
26,1
27,1
28,4
29,0
30,2
31,4
32,4
33,2
34,3
35,0
36,8
37,8
38,5
39,7
40,7
41,6
42,8
43,2
44,7
45,6
46,3
47,8
48,8
49,1
50,1
51,2
52,2
53,5
54,2
55,1
56,4
57,3
58,7
59,9
60,4
61,8
62,0
63,2
64,9
65,6
66,2
67,1
68,6
69,7
70,9
71,5
72,1
73,9
74,6
75,3
76,5
77,1
78,3
79,9
80,9
81,7
82,7
83,7
84,2
85,4
86,6
87,0
88,1
89,9
90,0
91,2
92,1
93,1
94,3
95,0
96,8
97,2
98,7
99,7
100,5
101,7
102,6
103,7
104,5
105,6
106,3
107,0
108,8
109,4
110,7
111,3
112,9
113,9
114,2
115,0
116,2
117,3
118,8
119,2
120,4
121,2
122,5
123,0
124,2
125,2
126,3
127,9
128,2
129,4
130,1
131,7
132,1
133,9
134,1
135,0
136,1
137,1
138,1
139,1
140,8
141,3
142,4
143,1
144,1
145,0
146,6
147,9
148,6
149,5
150,9
151,2
152,7
153,4
154,7
155,4
156,9
157,7
158,4
159,9
160,9
161,2
162,8
163,7
164,5
165,3
166,2
167,5
168,9
169,3
170,2
171,7
172,6
173,0
174,5
175,9
176,7
177,6
178,1
179,1
180,9
181,5
182,1
183,9
184,6
185,3
186,3
187,2
188,0
189,6
190,8
191,1
192,8
193,0
194,8
195,0
196,0
197,1
198,4
199,6
200,4
201,1
202,6
203,1
204,7
205,3
206,4
207,9
208,0
209,0
210,5
211,8
212,7
213,8
214,8
215,7
216,5
217,5
218,9
219,1
220,2
221,2
222,2
223,4
224,6
225,8
226,3
227,7
228,2
229,1
230,9
231,3
232,9
233,6
234,7
235,6
236,5
237,2
238,2
239,6
240,0
241,1
242,1
243,6
244,5
245,7
246,1
247,1
248,8
249,6
250,5
251,4
252,7
253,7
254,3
255,4
256,9
257,9
258,0
259,3
260,1
261,4
262,5
263,2
264,8
265,3
266,0
267,2
268,4
269,5
270,1
271,3
272,3
273,1
274,3
275,3
276,2
277,7
278,3
279,4
280,8
281,0
282,2
283,5
284,2
285,6
286,4
287,8
288,0
289,5
290,8
291,7
292,4
293,9
294,0
295,5
296,1
297,2
298,3
299,6
300,3
301,4
302,5
303,2
304,1
305,9
306,1
307,8
308,9
309,0
310,7
311,0
312,9
313,4
314,1
315,9
316,1
317,2
318,5
319,7
320,9
321,8
322,8
323,2
324,3
325,9
326,1
327,6
328,3
329,7
330,3
331,6
332,2
333,8
334,1
335,5
336,3
337,5
338,9
339,5
340,9
341,0
342,4
343,5
344,2
345,9
346,8
347,8
348,7
349,2
350,1
351,7
352,2
353,9
354,1
355,6
356,8
357,6
358,8
359,2
360,7
361,5
362,8
363,9
364,8
365,7
366,0
367,7
368,7
369,1
370,4
371,9
372,8
373,8
374,7
375,8
376,2
377,0
378,5
379,8
380,7
381,7
382,8
383,5
384,1
385,1
386,3
387,7
388,2
389,6
390,9
391,8
392,2
393,1
394,1
395,2
396,2
397,7
398,4
399,5
400,8
401,0
402,4
403,6
404,9
405,5
406,3
407,7
408,9
409,2
410,9
411,2
412,3
413,5
414,2
415,3
416,4
417,4
418,2
419,3
420,3
421,3
422,8
423,8
424,1
425,7
426,8
427,3
428,6
429,0
430,2
431,0
432,7
433,6
434,9
435,9
436,6
437,3
438,1
439,4
440,1
441,9
442,9
443,3
444,9
445,9
446,7
447,0
448,5
449,7
450,5
451,9
452,6
453,1
454,0
455,2
456,1
457,6
458,8
459,7
460,0
461,5
462,1
463,0
464,9
465,4
466,5
467,8
468,3
469,0
470,5
471,6
472,6
473,2
474,1
475,1
476,1
477,8
478,5
479,6
480,4
481,0
482,6
483,6
484,7
485,1
486,4
487,1
488,3
489,6
490,3
491,9
492,9
493,6
494,0
495,8
496,3
497,3
498,1
499,6
500,2
501,9
502,4
503,0
504,8
505,8
506,3
507,2
508,4
509,5
510,4
511,5
512,8
513,1
514,3
515,7
516,1
517,7
518,6
519,7
520,7
521,7
522,0
523,6
524,4
525,8
526,0
527,7
528,1
529,2
530,5
531,5
532,3
533,5
534,5
535,1
536,9
537,3
538,4
539,8
540,0
541,5
542,1
543,3
544,4
545,0
546,0
547,4
548,1
549,0
550,0
551,3
552,3
553,0
554,8
555,7
556,8
557,7
558,1
559,5
560,0
561,0
562,0
563,1
564,5
565,3
566,0
567,2
568,5
569,4
570,4
571,1
572,6
573,3
574,3
575,0
576,7
577,5
578,2
579,8
580,7
581,7
582,5
583,2
584,9
585,2
586,9
587,7
588,6
589,3
590,1
591,2
592,4
593,1
594,0
595,9
596,6
597,8
598,2
599,3
600,4
601,1
602,5
603,4
604,6
605,6
606,7
607,2
608,7
609,3
610,9
611,0
612,5
613,6
614,3
615,4
616,0
617,0
618,8
619,7
620,2
621,2
622,3
623,5
624,8
625,9
626,8
627,3
628,0
629,7
630,6
631,4
632,4
633,4
634,2
635,0
636,5
637,5
638,5
639,6
640,3
641,4
642,3
643,1
644,7
645,0
646,1
647,8
648,1
649,5
650,8
651,1
652,2
653,7
654,1
655,2
656,1
657,3
658,0
659,5
660,3
661,1
662,9
663,4
664,2
665,4
666,3
667,2
668,7
669,4
670,0
671,1
672,9
673,2
674,6
675,1
676,3
677,8
678,0
679,5
680,8
681,3
682,6
683,5
684,7
685,3
686,3
687,4
688,1
689,4
690,5
691,2
692,9
693,6
694,1
695,9
696,3
697,7
698,4
699,0
700,4
701,8
702,4
703,6
704,2
705,7
706,2
707,3
708,5
709,1
710,9
711,6
712,1
713,9
714,5
715,8
716,3
717,0
718,9
719,5
720,1
721,4
722,6
723,1
724,9
725,6
726,2
727,5
728,2
729,4
730,7
731,8
732,1
733,6
734,0
735,5
736,0
737,8
738,6
739,3
740,7
741,1
742,3
743,1
744,0
745,1
746,1
747,2
748,3
749,4
750,2
751,9
752,3
753,3
754,5
755,2
756,5
757,0
758,7
759,8
760,6
761,3
762,4
763,1
764,7
765,3
766,8
767,5
768,9
769,1
770,1
771,4
772,7
773,8
774,7
775,8
776,1
777,0
778,2
779,4
780,3
781,2
782,6
783,2
784,2
785,0
786,0
787,2
788,8
789,6
790,1
791,7
792,4
793,9
794,2
795,7
796,1
797,7
798,3
799,1
800,6
801,8
802,0
803,8
804,2
805,8
806,1
807,3
808,5
809,8
810,2
811,6
812,7
813,2
814,7
815,4
816,2
817,9
818,4
819,8
820,5
821,6
822,4
823,8
824,5
825,4
826,6
827,3
828,1
829,8
830,6
831,3
832,7
833,1
834,3
835,3
836,7
837,9
838,1
839,2
840,9
841,6
842,7
843,4
844,6
845,3
846,6
847,2
848,8
849,8
850,9
851,7
852,1
853,9
854,5
855,8
856,9
857,9
858,6
859,9
860,0
861,2
862,6
863,3
864,7
865,7
866,1
867,3
868,1
869,0
870,7
871,3
872,3
873,2
874,8
875,4
876,6
877,5
878,2
879,1
880,2
881,3
882,0
883,6
884,6
885,6
886,9
887,5
888,0
889,3
890,3
891,2
892,8
893,3
894,9
895,8
896,8
897,2
898,1
899,4
900,0
901,5
902,5
903,2
904,0
905,9
906,9
907,3
908,7
909,1
910,6
911,9
912,0
913,4
914,4
915,8
916,8
917,5
918,0
919,5
920,2
921,8
922,9
923,0
924,0
925,7
926,2
927,3
928,8
929,6
930,5
931,2
932,6
933,4
934,9
935,0
936,1
937,5
938,5
939,4
940,0
941,4
942,8
943,0
944,5
945,6
946,0
947,7
948,0
949,4
950,5
951,7
952,3
953,0
954,4
955,5
956,6
957,7
958,1
959,4
960,6
961,8
962,8
963,6
964,5
965,6
966,9
967,4
968,5
969,6
970,8
971,2
972,3
973,1
974,8
975,9
976,7
977,9
978,0
979,7
980,7
981,6
982,3
983,7
984,7
985,3
986,3
987,4
988,9
989,4
990,3
991,0
992,3
993,6
994,9
995,4
996,1
997,2
998,7
999,1
1000,9
1001,7
1002,8
1003,8
1004,0
1005,3
1006,9
1007,5
1008,7
1009,7
1010,7
1011,6
1012,9
1013,1
1014,7
1015,0
1016,3
1017,1
1018,8
1019,7
1020,8
1021,5
1022,3
1023,2
1024,5
1025,9
1026,6
1027,2
1028,8
1029,1
1030,4
1031,2
1032,2
1033,7
1034,2
1035,8
1036,1
1037,1
1038,7
1039,0
1040,9
1041,1
1042,2
1043,7
1044,8
1045,9
1046,9
1047,0
1048,5
1049,1
1050,9
1051,1
1052,9
1053,3
1054,1
1055,7
1056,9
1057,3
1058,3
1059,0
1060,6
1061,5
1062,1
1063,6
1064,8
1065,1
1066,6
1067,0
1068,8
1069,7
1070,1
1071,3
1072,1
1073,2
1074,3
1075,3
1076,1
1077,6
1078,2
1079,3
1080,3
1081,3
1082,1
1083,8
1084,9
1085,8
1086,6
1087,3
1088,6
1089,1
1090,9
1091,5
1092,6
1093,7
1094,7
1095,5
1096,2
1097,0
1098,0
1099,9
1100,5
1101,4
1102,8
1103,2
1104,0
1105,6
1106,5
1107,9
1108,3
1109,6
1110,9
1111,0
1112,5
1113,0
1114,2
1115,1
1116,2
1117,9
1118,0
1119,9
1120,6
1121,3
1122,8
1123,5
1124,4
1125,0
1126,3
1127,4
1128,5
1129,7
1130,1
1131,8
1132,8
1133,6
1134,3
1135,6
1136,8
1137,8
1138,2
1139,5
1140,6
1141,1
1142,4
1143,4
1144,3
1145,4
1146,2
1147,4
1148,2
1149,8
1150,3
1151,4
1152,2
1153,4
1154,8
1155,4
1156,2
1157,3
1158,3
1159,2
1160,9
1161,7
1162,4
1163,4
1164,5
1165,8
1166,9
1167,8
1168,1
1169,8
1170,1
1171,9
1172,8
1173,0
1174,5
1175,3
1176,3
1177,8
1178,6
1179,2
1180,9
1181,7
1182,3
1183,7
1184,9
1185,2
1186,6
1187,2
1188,7
1189,3
1190,0
1191,2
1192,2
1193,8
1194,4
1195,9
1196,3
1197,2
1198,5
1199,9
1200,8
1201,0
1202,1
1203,7
1204,1
1205,6
1206,5
1207,9
1208,2
1209,7
1210,3
1211,0
1212,7
1213,1
1214,8
1215,9
1216,9
1217,7
1218,6
1219,3
1220,6
1221,6
1222,6
1223,7
1224,4
1225,6
1226,2
1227,8
1228,8
1229,4
1230,4
1231,5
1232,6
1233,8
1234,4
1235,6
1236,2
1237,2
1238,6
1239,2
1240,7
1241,7
1242,6
1243,2
1244,2
1245,4
1246,9
1247,1
1248,8
1249,6
1250,9
1251,2
1252,9
1253,6
1254,3
1255,9
1256,9
1257,7
1258,6
1259,8
1260,3
1261,1
1262,6
1263,5
1264,7
1265,4
1266,3
1267,0
1268,9
1269,0
1270,9
1271,2
1272,5
1273,4
1274,7
1275,9
1276,9
1277,4
1278,7
1279,5
1280,3
1281,4
1282,1
1283,8
1284,7
1285,2
1286,7
1287,7
1288,8
1289,4
1290,1
1291,7
1292,7
1293,5
1294,2
1295,9
1296,5
1297,5
1298,1
1299,1
1300,1
1301,3
1302,6
1303,5
1304,7
1305,6
1306,8
1307,4
1308,1
1309,1
1310,2
1311,8
1312,1
1313,2
1314,7
1315,6
1316,1
1317,1
1318,4
1319,5
1320,7
1321,7
1322,1
1323,5
1324,7
1325,1
1326,5
1327,9
1328,0
1329,9
1330,3
1331,8
1332,4
1333,2
1334,8
1335,3
1336,2
1337,7
1338,7
1339,3
1340,4
1341,7
1342,8
1343,2
1344,1
1345,0
1346,3
1347,7
1348,7
1349,9
1350,9
1351,7
1352,0
1353,4
1354,5
1355,5
1356,7
1357,0
1358,6
1359,1
1360,6
1361,4
1362,0
1363,1
1364,5
1365,5
1366,4
1367,5
1368,2
1369,6
1370,0
1371,6
1372,2
1373,2
1374,2
1375,5
1376,2
1377,8
1378,8
1379,6
1380,7
1381,1
1382,7
1383,2
1384,9
1385,1
1386,0
1387,4
1388,8
1389,9
1390,9
1391,0
1392,2
1393,3
1394,5
1395,2
1396,5
1397,1
1398,1
1399,9
1400,3
1401,1
1402,1
1403,5
1404,4
1405,1
1406,7
1407,5
1408,2
1409,8
1410,0
1411,5
1412,1
1413,9
1414,8
1415,0
1416,2
1417,1
1418,7
1419,7
1420,5
1421,4
1422,9
1423,0
1424,9
1425,3
1426,8
1427,4
1428,1
1429,0
1430,6
1431,8
1432,2
1433,2
1434,1
1435,4
1436,6
1437,2
1438,1
1439,0
1440,9
1441,4
1442,2
1443,6
1444,9
1445,7
1446,8
1447,7
1448,4
1449,6
1450,2
1451,3
1452,6
1453,1
1454,6
1455,5
1456,1
1457,1
1458,6
1459,8
1460,7
1461,0
1462,9
1463,0
1464,6
1465,0
1466,3
1467,9
1468,8
1469,3
1470,9
1471,8
1472,3
1473,1
1474,8
1475,8
1476,0
1477,8
1478,1
1479,2
1480,5
1481,3
1482,2
1483,7
1484,9
1485,8
1486,7
1487,0
1488,9
1489,8
1490,2
1491,9
1492,8
1493,9
1494,3
1495,1
1496,5
1497,8
1498,2
1499,1
1500,9
1501,9
1502,1
1503,3
1504,2
1505,6
1506,2
1507,9
1508,4
1509,6
1510,4
1511,0
1512,9
1513,1
1514,0
1515,8
1516,7
1517,5
1518,2
1519,4
1520,1
1521,1
1522,6
1523,1
1524,1
1525,7
1526,8
1527,5
1528,0
1529,8
1530,4
1531,7
1532,0
1533,3
1534,7
1535,6
1536,4
1537,2
1538,9
1539,2
1540,3
1541,1
1542,6
1543,8
1544,2
1545,9
1546,1
1547,7
1548,0
1549,1
1550,2
1551,3
1552,5
1553,3
1554,1
1555,0
1556,0
1557,3
1558,2
1559,1
1560,6
1561,8
1562,9
1563,5
1564,1
1565,2
1566,3
1567,1
1568,0
1569,4
1570,0
1571,8
1572,2
1573,1
1574,1
1575,0
1576,6
1577,3
1578,7
1579,3
1580,8
1581,4
1582,2
1583,1
1584,9
1585,1
1586,0
1587,3
1588,4
1589,4
1590,8
1591,9
1592,1
1593,0
1594,2
1595,3
1596,7
1597,1
1598,3
1599,8
1600,6
1601,2
1602,4
1603,4
1604,2
1605,1
1606,1
1607,7
1608,1
1609,1
1610,1
1611,5
1612,1
1613,5
1614,8
1615,3
1616,3
1617,7
1618,7
1619,1
1620,1
1621,6
1622,0
1623,1
1624,8
1625,3
1626,6
1627,8
1628,3
1629,2
1630,9
1631,6
1632,5
1633,5
1634,3
1635,2
1636,3
1637,9
1638,9
1639,0
1640,6
1641,0
1642,6
1643,0
1644,6
1645,6
1646,8
1647,0
1648,9
1649,2
1650,9
1651,2
1652,8
1653,5
1654,1
1655,1
1656,8
1657,4
1658,6
1659,2
1660,7
1661,2
1662,4
1663,6
1664,0
1665,9
1666,9
1667,4
1668,3
1669,3
1670,4
1671,5
1672,1
1673,8
1674,1
1675,1
1676,3
1677,2
1678,2
1679,4
1680,8
1681,4
1682,9
1683,8
1684,3
1685,1
1686,7
1687,7
1688,9
1689,7
1690,3
1691,5
1692,6
1693,8
1694,3
1695,0
1696,4
1697,9
1698,7
1699,9
1700,3
1701,3
1702,8
1703,4
1704,4
1705,8
1706,1
1707,9
1708,9
1709,8
1710,5
1711,0
1712,1
1713,6
1714,6
1715,5
1716,9
1717,5
1718,6
1719,3
1720,8
1721,7
1722,8
1723,1
1724,3
1725,0
1726,1
1727,6
1728,8
1729,2
1730,7
1731,9
1732,0
1733,7
1734,0
1735,1
1736,3
1737,8
1738,3
1739,1
1740,7
1741,2
1742,9
1743,6
1744,1
1745,7
1746,5
1747,2
1748,4
1749,4
1750,1
1751,7
1752,8
1753,5
1754,2
1755,5
1756,4
1757,9
1758,5
1759,6
1760,2
1761,1
1762,9
1763,5
1764,5
1765,4
1766,3
1767,1
1768,7
1769,4
1770,4
1771,2
1772,2
1773,4
1774,7
1775,7
1776,9
1777,5
1778,2
1779,9
1780,0
1781,9
1782,2
1783,6
1784,5
1785,8
1786,9
1787,3
1788,9
1789,5
1790,8
1791,4
1792,9
1793,6
1794,5
1795,7
1796,9
1797,4
1798,7
1799,9
1800,6
1801,7
1802,2
1803,6
1804,3
1805,6
1806,5
1807,2
1808,4
1809,8
1810,4
1811,4
1812,0
1813,9
1814,4
1815,0
